Authors,Author Full Names,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Researcher Ids,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Volume,Issue,WoS Categories,Web of Science Index,Research Areas
"Boltaboyeva, A; Baigarayeva, Z; Imanbek, B; Amangeldy, B; Tasmurzayev, N; Ozhikenov, K; Alimbayeva, Z; Alimbayev, C; Karymsakova, N","Boltaboyeva, Assiya; Baigarayeva, Zhanel; Imanbek, Baglan; Amangeldy, Bibars; Tasmurzayev, Nurdaulet; Ozhikenov, Kassymbek; Alimbayeva, Zhadyra; Alimbayev, Chingiz; Karymsakova, Nurgul",Architecting the Orthopedical Clinical AI Pipeline: A Review of Integrating Foundation Models and FHIR for Agentic Clinical Assistants and Digital Twins,ALGORITHMS,large language models; AI assistant; clinical decision support systems; RAG; finetuning; multimodal AI; explainable AI; NLP; medical AI,DATA ELEMENTS; KNEE; ACCURACY; HIP,"The exponential growth of multimodal orthopedic data, ranging from longitudinal Electronic Health Records to high-resolution musculoskeletal imaging, has rendered manual analysis insufficient. This has established Large Language Models (LLMs) as algorithmically necessary for managing healthcare complexity. However, their deployment in high-stakes surgical environments presents a fundamental algorithmic paradox: while generic foundation models possess vast reasoning capabilities, they often lack the precise, protocol-driven domain knowledge required for safe orthopedic decision support. This review provides a structured synthesis of the emerging algorithmic frameworks required to build modern clinical AI assistants. We deconstruct current methodologies into their core components: large-language-model adaptation, multimodal data fusion, and standardized data interoperability pipelines. Rather than proposing a single proprietary architecture, we analyze how recent literature connects specific algorithmic choices such as the trade-offs between full fine-tuning and Low-Rank Adaptation to their computational costs and factual reliability. Furthermore, we examine the theoretical architectures required for 'agentic' capabilities, where AI systems integrate outputs from deep convolutional neural networks and biosensors. The review concludes by outlining the unresolved challenges in algorithmic bias, security, and interoperability that must be addressed to transition these technologies from research prototypes to scalable clinical solutions.","[Boltaboyeva, Assiya; Baigarayeva, Zhanel; Alimbayeva, Zhadyra; Alimbayev, Chingiz] Satbayev Univ, Inst Automat & Informat Technol, Alma Ata 050013, Kazakhstan; [Boltaboyeva, Assiya; Baigarayeva, Zhanel; Imanbek, Baglan; Amangeldy, Bibars; Tasmurzayev, Nurdaulet; Ozhikenov, Kassymbek] Al Farabi Kazakh Natl Univ, Fac Informat Technol & Artificial Intelligence, Alma Ata 050040, Kazakhstan; [Boltaboyeva, Assiya; Baigarayeva, Zhanel] LLP Kazakhstan R&D Solut, Alma Ata 050056, Kazakhstan; [Karymsakova, Nurgul] ALT Univ, Dept Automat & Control, Alma Ata 050012, Kazakhstan",Satbayev University; Farabi University,"Karymsakova, Nurgul/HGA-5656-2022; Amangeldy, Bibars/IWE-2434-2023; Alimbayeva, Zhadyra/AAP-3106-2020; Imanbek, Baglan/JNT-6011-2023; Tasmurzayev, Nurdaulet/KHW-3566-2024; Boltaboyeva, Assiya/KBB-4035-2024; Alimbayev, Chingiz/ADS-0887-2022",135,0,0,5,5,19.0,2,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",Emerging Sources Citation Index (ESCI),Computer Science
"Carter, J; Anoruo, N; Rehman, N; Otaki, Y; Lydston, M; Burke, HB","Carter, Jocelyn; Anoruo, Nancy; Rehman, Narmeen; Otaki, Yu; Lydston, Melis; Burke, Harry B.",Use of Large Language Models to Extract Heart Failure Information from Electronic Health Records: A Scoping Review,CURRENT EPIDEMIOLOGY REPORTS,Large language models; Heart failure; Electronic medical record; Electronic health record,EUROPEAN-SOCIETY; ASSOCIATION; CARDIOLOGY; MANAGEMENT; COMMITTEE,"Purpose of Review This scoping review focused on the use of large language models (LLMs) to extract clinically-relevant heart failure (HF) information from electronic health records (EHRs). Recent Findings We identified 10 studies that focused on the ability of LLMs to extract HF data from EHRs and to clinically use the data. While early demonstrations of extraction accuracy and clinical prediction endpoints were encouraging, some studies offered limited descriptions of baseline characteristics and most studies had clinical endpoints that lacked specificity relevant to heart failure phenotype, goal-directed medical therapy, medication titration, and other important evidence-based domains known to impact clinical outcomes in heart failure. Even with the application of a comprehensive search strategy, relatively few studies were identified meeting the pre-specified criteria for inclusion in this review. All included studies that met criteria were retrospective with some case control designed studies. Additional LLM studies are needed to better define how heart failure diagnosis, prevention, management, and treatment can benefit from the use of large language models associated with electronic medical records. This is particularly true for areas of interest where LLM analytics may be applied (e.g., early diagnosis, HF phenotype and treatment variation, medication adherence, medication titration) to further advance the evidence-base for diagnosis and phenotype-specific treatment, deepen understanding barriers to treatment and management, and close adoption gaps widened by variations in clinician behavior.","[Carter, Jocelyn; Otaki, Yu; Lydston, Melis] Massachusetts Gen Hosp, Div Gen Internal Med, 55 Fruit St, Blake 15, Boston, MA 02114 USA; [Anoruo, Nancy] Brigham & Womens Hosp, Boston, MA 02115 USA; [Rehman, Narmeen] Wayne State Univ, Sch Med, Detroit, MI 48201 USA; [Burke, Harry B.] George Washington Sch Med, Washington, DC 20814 USA",Harvard University; Harvard University Medical Affiliates; Massachusetts General Hospital; Harvard University; Harvard University Medical Affiliates; Brigham & Women's Hospital; Wayne State University; George Washington University,"Lydston, Melis/JOZ-3557-2023",70,0,0,0,0,13.0,1,"Public, Environmental & Occupational Health",Science Citation Index Expanded (SCI-EXPANDED),"Public, Environmental & Occupational Health"
"Holm, S; Huss, F; Nayyer, B; Zdolsek, J","Holm, Sebastian; Huss, Fredrik; Nayyer, Bahaman; Zdolsek, Johann",Use of Artificial Intelligence in Burn Assessment: A Scoping Review with a Large Language Model-Generated Decision Tree,EUROPEAN BURN JOURNAL,artificial intelligence; burn assessment; deep learning; convolutional neural networks; large language models; decision support; segmentation; burn depth; burn area; treatment recommendation,SEGMENTATION; FEATURES; DEEP,"Background: Burns cause about 180,000 deaths annually and lead to substantial morbidity, especially in low- and middle-income countries. Clinical assessment of burn depth and TBSA relies on visual and bedside examination and remains subjective. Convolutional neural networks (CNNs) have been proposed to improve objectivity in image-based burn assessment, but clinical generalizability and acceptance remain uncertain. Aims: To map current evidence on CNN performance for burn TBSA, burn depth and treatment-related tasks and to explore whether a large language model (LLM) can organize extracted findings into a transparent, literature-derived orientation decision tree. Methods: We performed a scoping review following PRISMA-ScR. PubMed, Web of Science and Cochrane were searched on 5 April 2025. Eligible studies reported CNN analysis of 2D burn images and quantitative performance metrics. We summarized reported values descriptively. We then provided a structured summary of extracted findings to ChatGPT to draft a one-page orientation decision tree. Two consultant burn surgeons reviewed the figure for clarity and plausibility. Results: Of 659 records, 24 studies were included. Across studies, reported performance for TBSA and depth assessment was often high, but study designs, datasets, labels, imaging modalities and validation strategies varied substantially. High reported performance does not necessarily imply clinical robustness or real-world accuracy. A single study reported high test-set accuracy for graft versus non-graft using heavily expanded data. This value should not be generalized. Conclusions: CNNs show promise for image-based burn TBSA and depth assessment, but heterogeneity, dataset limitations and limited external validation restrict interpretation and clinical transfer. The LLM-derived decision tree is a literature-synthesis orientation figure, not a clinical decision-support tool.","[Holm, Sebastian; Zdolsek, Johann] Orebro Univ, Orebro Univ Hosp, Fac Med & Hlth, Dept Plast & Reconstruct Surg, S-70182 Orebro, Sweden; [Huss, Fredrik] Uppsala Univ, Dept Surg Sci, Plast Surg, S-75185 Uppsala, Sweden; [Huss, Fredrik] Uppsala Univ Hosp, Burn Ctr, Dept Plast & Maxillofacial Surg, S-75185 Uppsala, Sweden; [Nayyer, Bahaman] Orebro Univ, Fac Med & Hlth, Sch Med Sci, S-70182 Orebro, Sweden",Orebro University; Uppsala University; Uppsala University; Uppsala University Hospital; Orebro University,"Holm, Sebastian/CAH-0893-2022; Huss, Fredrik/G-6951-2018",38,0,0,1,1,7.0,1,Critical Care Medicine; Dermatology,Emerging Sources Citation Index (ESCI),General & Internal Medicine; Dermatology
"Han, S; Cho, H; Choi, YK; Alexander, GL","Han, Soojeong; Cho, Hannah; Choi, Yong K.; Alexander, Gregory L.",Exploring evaluation measures of large language models for family caregiver use: A scoping review,DIGITAL HEALTH,Large language model; scoping review; generative artificial intelligence; family caregiver; health informatics,READABILITY; COMMUNICATION; INFORMATION; ELIZA,"Background Large language models have a huge positive impact on various disciplines, including healthcare. As family caregivers are an essential part of the healthcare system, they need support and can benefit from the technology. However, there is no consensus on reliable and valid measures to evaluate large language models.Objective This study aims to review the literature on the evaluation measures of large language models for caregivers.Methods We conducted a scoping review guided by Arksey and O'Malley methodology and the PRISMA-ScR checklist. A literature search on PubMed, EMBASE, CINAHL, and PsycINFO, from 2018 through July 2024, was carried out. An additional rapid review was conducted for the recent literature update from July 2024 through November 2025.Results All 10 final publications that met the inclusion criteria out of 1812 focused on ChatGPT, whereas three of them also addressed other large language models, such as Google Bard and Bing AI. The most commonly assessed core conceptual components of evaluation measures were accuracy, reliability, readability, and comprehensiveness. Overall, the included studies reported that large language models' responses were somewhat accurate and reliable and mixed results in readability and comprehensiveness. The final 14 publications from a rapid review offered additional evidence on ChatGPT-centrism.Conclusions This review provides a comprehensive overview of the measures for evaluating large language models and highlights the need for their improvement using reliable and valid measures. The findings guide the direction of future research and practice to maximize the benefits through continuous quality improvement.","[Han, Soojeong; Alexander, Gregory L.] Columbia Univ, Sch Nursing, 560W 168TH St, New York, NY 10032 USA; [Cho, Hannah] Univ Penn, Sch Nursing, Philadelphia, PA USA; [Choi, Yong K.] Univ Pittsburgh, Sch Hlth & Rehabil Sci, Pittsburgh, PA USA",Columbia University; University of Pennsylvania; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh,"; Cho, Hannah/KPY-1999-2024",70,0,0,6,6,12.0,,"Health Care Sciences & Services; Health Policy & Services; Public, Environmental & Occupational Health; Medical Informatics",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),"Health Care Sciences & Services; Public, Environmental & Occupational Health; Medical Informatics"
"Wunsch, DC III; Hier, DB","Wunsch III, Donald C.; Hier, Daniel B.",Large language models for neurology: a mini review,FRONTIERS IN DIGITAL HEALTH,ambient documentation; digital twins; documentation burden; ethical AI; large language models; multimodal AI; neurology; precision neurology,ARTIFICIAL-INTELLIGENCE; CAREER SATISFACTION; US NEUROLOGISTS; BURNOUT,"Large language models have the potential to transform neurology by augmenting diagnostic reasoning, streamlining documentation, and improving workflow efficiency. This Mini Review surveys emerging applications of large language models in Alzheimer's disease, Parkinson's disease, multiple sclerosis, and epilepsy, with emphasis on ambient documentation, multimodal data integration, and clinical decision support. Key barriers to adoption include bias, privacy, reliability, and regulatory alignment. Looking ahead, neurology-focused language models may develop greater fluency in biomedical ontologies and FHIR standards, improving data interoperability and supporting more seamless collaboration between clinicians and AI systems. Two future developments have the potential to be particularly impactful: (1) the integration of multi-omic and neuroimaging data with digital-twin simulations to advance precision neurology, and (2) broader adoption of ambient documentation and other language-model-based efficiencies that could reduce administrative and cognitive burden. Ultimately, the clinical success of large language models will depend on continued progress in model robustness, ethical governance, and careful implementation.","[Wunsch III, Donald C.] St Louis Univ, Sch Med, St Louis, MO 63103 USA; [Hier, Daniel B.] Missouri Univ Sci & Technol, Kummer Inst, Ctr Artificial Intelligence & Autonomous Syst, Rolla, MO USA",Saint Louis University; University of Missouri System; Missouri University of Science & Technology,"Hier, Daniel/L-6409-2019",75,0,0,8,8,7.0,,Health Care Sciences & Services; Medical Informatics,Emerging Sources Citation Index (ESCI),Health Care Sciences & Services; Medical Informatics
"Buza, K; Antal, M","Buza, Krisztian; Antal, Margit",Twenty Years of Time Series Classification: From Nearest-Neighbors to ROCKETs and Large Language Models,ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,Time series classification; Dynamic time warping; Deep learning; Convolutional neural networks; Random convolutional kernel transform (ROCKET),INSTANCE SELECTION; NEURAL-NETWORKS; IMPUTATION,"Time series classification, a key area within artificial intelligence and machine learning, has widespread applications across economics, finance, medicine, and engineering. Such applications include verifying signatures on touchscreens, recognizing physical activities using accelerometer data, identifying users through keystroke dynamics, and many more. This paper provides an overview of the most significant time series classification methods developed over the last two decades. These methods range from nearest neighbor models with dynamic time warping, to deep learning techniques like convolutional and residual networks (ResNet), and more recent approaches such as the Random Convolutional Kernel Transform (ROCKET). A notable insight from this review is that relatively simple models often perform remarkably well for time series classification tasks.","[Buza, Krisztian] Budapest Univ Econ & Business, Budapest, Hungary; [Buza, Krisztian; Antal, Margit] Sapientia Hungarian Univ Transylvania, Targu Mures, Romania",Budapest University of Economics & Business (BUEB); Sapientia Hungarian University of Transylvania,"Antal, Margit/B-8659-2018; Buza, Krisztian/H-6093-2012",58,0,0,0,0,18.0,1,"Computer Science, Theory & Methods",Emerging Sources Citation Index (ESCI),Computer Science
"Woo, BFY; Cato, K; Cho, H; Bin You, S; Song, J","Woo, Brigitte Fong Yeong; Cato, Kenrick; Cho, Hannah; Bin You, Sang; Song, Jiyoun",The use of large language models in clinical documentation: A scoping review,INTERNATIONAL JOURNAL OF NURSING STUDIES,Large language models; Electronic health records; Artificial intelligence; Documentation,BURDEN; CARE,"Background: Clinical documentation is essential for safe, high-quality care but has become increasingly complex, contributing to clinician burnout. Large language models offer potential to ease documentation by generating summaries, structuring data, and ensuring compliance. However, concerns remain regarding accuracy, bias, privacy, and regulatory risks. Objective: To map current literature on large language models applications in clinical documentation, evaluating their benefits, limitations, and ethical considerations. Information sources: Five electronic databases (i.e., PubMed, Scopus, CINAHL, Cochrane Library, and IEEE Xplore) covering peer-reviewed literature published in English between January 2009 and August 2025. Methods: This scoping review followed Arksey and OMalleys framework and was reported in accordance with PRISMA-ScR guidelines. Screening, data extraction, and quality appraisal were conducted independently by multiple reviewers using Joanna Briggs Institute tools. Findings were synthesized using descriptive and narrative approaches. Results: Forty-one studies met inclusion criteria, most originating from the United States. Large language models were primarily applied to clinical note generation, discharge summaries, and provider-patient encounter documentation. Key evaluation metrics included content accuracy, linguistic quality, and summarization performance. Large language models demonstrated potential to improve documentation efficiency and readability, with some studies reporting up to 40 % time savings. However, concerns about factual inaccuracies, hallucinations, and reduced performance in complex cases were common. Clinician perceptions were mixed. Some found notes generated by large language models helpful and well-structured, while others raised concerns about reliability, liability, and loss of clinical nuance. Ethical challenges included data privacy, security, and algorithmic bias, with varying levels of compliance across settings. Conclusions: Large language models hold significant promise for enhancing clinical documentation by improving efficiency, standardization, and clarity. However, their safe and effective use requires rigorous attention to accuracy, ethical safeguards, and clinician trust. Integration must support, rather than supplant, clinical reasoning and patient-centered care. Co-design with clinicians, real-world evaluation, and artificial intelligence literacy are essential to ensure that these technologies augment, not erode, professional judgment and care quality. Registration: Open Science Framework Registries (https://osf.io/m4h3q).","[Woo, Brigitte Fong Yeong; Cato, Kenrick; Cho, Hannah; Bin You, Sang; Song, Jiyoun] Univ Penn, Sch Nursing, Philadelphia, PA USA; [Woo, Brigitte Fong Yeong] Commonwealth Fund, New York, NY USA; [Woo, Brigitte Fong Yeong] Ng Teng Fong Gen Hosp, Nursing Adm, Singapore, Singapore; [Cato, Kenrick] Childrens Hosp Philadelphia, Philadelphia, PA USA",University of Pennsylvania; Commonwealth Fund; University of Pennsylvania; Pennsylvania Medicine; Childrens Hospital of Philadelphia,"Cho, Hannah/KPY-1999-2024",91,3,3,21,21,176.0,,Nursing,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Nursing
"Chen, YS; Gao, YF; Yu, SJ; Zhao, CQ; Lu, Y","Chen, Yisong; Gao, Yifan; Yu, Sijing; Zhao, Chuqing; Lu, Yang","Large Language Models in Mental Health: A Systematic Review of Applications, Innovations and Ethical Challenges",JOURNAL OF INDUSTRIAL INTEGRATION AND MANAGEMENT-INNOVATION AND ENTREPRENEURSHIP,Large language models (LLMs); generative AI; digital mental health informatics; social media analysis; multimodal modeling,,"We present a review on the applications of large language models (LLMs) in health, e.g. social media analysis, clinical conversational agents, therapy support tools, prompt engineering, multimodal learning and ethical considerations. We integrate findings from interdisciplinary studies utilizing diverse data sources such as social media posts, electronic medical records and multimodal inputs to enable early detection of depression, suicide risk assessment, personalized therapy support and psychoeducational content generation. Our review highlights advancements in LLM models and annotation strategies that enhance interpretability and clinical relevance, while we also emphasize the critical role of prompt engineering for domain adaptation. We also discuss emerging multimodal fusion techniques integrating text, speech and sensor data for improved mental health diagnosis and monitoring. Finally, we address ongoing ethical, sociotechnical and regulatory challenges, and advocate frameworks to ensure safe, equitable and accountable deployment of LLMs in real-world mental health care.","[Chen, Yisong] Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA; [Gao, Yifan] Univ Texas San Antonio, Dept Informat Syst & Cyber Secur, San Antonio, TX USA; [Yu, Sijing] Texas A&M Univ, Dept Comp Sci & Engn, College Stn, TX USA; [Zhao, Chuqing] Harvard Univ, Harvard John A Paulson Sch Engn & Appl Sci, Boston, MA USA; [Lu, Yang] Beijing Technol & Business Sch, Sch Comp & Artificial Intelligence, Beijing, Peoples R China",University System of Georgia; Georgia Institute of Technology; University of Texas System; University of Texas at San Antonio; Texas A&M University System; Texas A&M University College Station; Harvard University,"LU, YANG/W-7778-2019",120,0,0,9,9,,,Management,Emerging Sources Citation Index (ESCI),Business & Economics
"Murali, L; Gopakumar, G; Viswanathan, DM; Raman, R; Nedungadi, P","Murali, Lino; Gopakumar, G.; Viswanathan, Daleesha M.; Raman, Raghu; Nedungadi, Prema","Integrating LLMs and Knowledge Graphs for Medical AI: Advances, Challenges, and Future Directions",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,Medical services; Medical diagnostic imaging; Cognition; Accuracy; Knowledge graphs; Large language models; Scalability; Reliability; Ontologies; Electronic medical records; AI in Healthcare; Clinical Decision Support; Knowledge Graph; Large Language Model,LARGE LANGUAGE MODEL; HEALTH,"This review synthesizes how integrating large language models (LLMs) with knowledge graphs (KGs) advances medical AI across methods, applications, and evaluation. While LLMs excel at natural language understanding and contextual reasoning, KGs provide structured factual knowledge, ensuring reliability in critical domains like healthcare AI. This review explores recent advances, emphasizing how LLM-KG synergy enhances knowledge extraction, clinical decision support, and explainability in medical applications. We analyze integration methodologies across three key frameworks: (a) KG-enhanced LLMs, where KGs refine reasoning during pre-training and inference; (b) LLM-augmented KGs, where LLMs improve KG construction, reasoning, and query resolution; and (c) Synergistic LLM-KG systems, which enable bidirectional knowledge exchange for more robust AI-driven decision-making. While these models offer substantial improvements in medical diagnostics, personalized treatment, and automated knowledge discovery, key challenges remain. Issues such as data heterogeneity, reasoning transparency, computational scalability, and ethical considerations surrounding patient data must be addressed to enable real-world clinical adoption. This review outlines future directions, including cross-domain knowledge integration, neurosymbolic AI frameworks, causal reasoning for explainable predictions, and multi-agent ensemble models for adaptive decision-making. We emphasize that scalability, real-time KG updates, and privacy-preserving mechanisms are vital for responsible, high-impact AI deployment in medicine.","[Murali, Lino; Viswanathan, Daleesha M.] Cochin Univ Sci & Technol, Sch Engn, Div Informat Technol, Kochi 682022, India; [Murali, Lino; Nedungadi, Prema] Amrita Vishwa Vidyapeetham, Amrita CREATE, Amritapuri 695014, Kerala, India; [Gopakumar, G.] Amrita Vishwa Vidyapeetham, Amrita Sch Comp, Dept Comp Sci & Engn, Amritapuri 695014, Kerala, India; [Raman, Raghu] Amrita Vishwa Vidyapeetham, Amrita Sch Business, Amritapuri 695014, India; [Nedungadi, Prema] Amrita Vishwa Vidyapeetham, Amrita Sch Comp, Dept Comp Sci & Engn, Amritapuri 695014, India",Cochin University Science & Technology; Amrita Vishwa Vidyapeetham; Amrita Vishwa Vidyapeetham Amritapuri; Amrita Vishwa Vidyapeetham; Amrita Vishwa Vidyapeetham Amritapuri; Amrita Vishwa Vidyapeetham; Amrita Vishwa Vidyapeetham Amritapuri; Amrita Vishwa Vidyapeetham; Amrita Vishwa Vidyapeetham Amritapuri,"G, Gopika/AAD-3212-2022; Raman, Raghu/AAL-9550-2020; Nedungadi, Prema/ODJ-1776-2025",106,1,1,5,6,30.0,5,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology; Medical Informatics",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Mathematical & Computational Biology; Medical Informatics
"Ferdaus, MM; Abdelguerfi, M; Loup, E; Niles, KN; Pathak, K; Sloan, S","Ferdaus, Md Meftahul; Abdelguerfi, Mahdi; Loup, Elias; Niles, Kendall N.; Pathak, Ken; Sloan, Steven",Towards Trustworthy AI: A Review of Ethical and Robust Large Language Models,ACM COMPUTING SURVEYS,Large language models; trustworthy AI; AI safety; bias detection; temporal consistency; cross-cultural validation; AI ethics; responsible AI,NEURAL-NETWORKS,"Large Language Models (LLMs) are advancing rapidly and promising transformation across fields but pose challenges in oversight, ethics, and user trust. This review addresses trust issues like unintentional harms, opacity, vulnerability, misalignment with values, and environmental impact, all of which affect trust. Factors undermining trust include societal biases, opaque processes, misuse potential, and technology evolution challenges, especially in finance, healthcare, education, and policy. Recommended solutions include ethical oversight, industry accountability, regulation, and public involvement to reshape AI norms and incorporate ethics into development. A framework assesses trust in LLMs, analyzing trust dynamics and providing guidelines for responsible AI development. The review highlights limitations in building trustworthy AI, aiming to create a transparent and accountable ecosystem that maximizes benefits and minimizes risks, offering guidance for researchers, policymakers, and industry in fostering trust and ensuring responsible use of LLMs. We validate our frameworks through comprehensive experimental assessment across seven contemporary models, demonstrating substantial improvements in trustworthiness characteristics and identifying important disagreements with existing literature. Both theoretical foundations and empirical validation are provided in comprehensive supplementary materials.","[Ferdaus, Md Meftahul] Univ New Orleans, Dept Comp Sci, New Orleans, LA 70148 USA; [Abdelguerfi, Mahdi] Univ New Orleans, Comp Sci, New Orleans, LA USA; [Loup, Elias] US Naval Res Lab Stennis Space Ctr, Stennis Space Ctr, MS USA; [Niles, Kendall N.; Pathak, Ken; Sloan, Steven] US Army Corps Engineers, Mississippi Valley Div, Vicksburg, MS USA",University of Louisiana System; University of New Orleans; University of Louisiana System; University of New Orleans; United States Department of Defense; United States Army; U.S. Army Corps of Engineers; U.S. Army Engineer Research & Development Center (ERDC),,150,3,3,6,6,58.0,7,"Computer Science, Theory & Methods",Science Citation Index Expanded (SCI-EXPANDED),Computer Science
