Label,Weight
"Chng, SY",1
"Liu, YS",1
"Arvai, N",1
"Fahrner, LJ",1
"Gargari, OK",1
"Winkler, PW",1
"Marconi, L",1
"Wang, ZF",1
"Niemiec, E",1
"Alam, KN",1
"Berghea, F",1
"Obaido, G",1
"Li, MM",1
"Murali, L",1
"Wei, QW",1
"Yun, H",1
"Al-Ganad, A",1
"Mir, BA",1
"Martinho, D",1
"Zheng, CS",1
"Litvinov, A",1
"Schuitmaker, L",1
"Kim, C",1
"Papareddy, P",1
"Poudel, U",1
"Ding, D",1
"Liu, F",1
"Aquilino, L",1
"Zoccali, C",1
"Siddavatam, KI",1
"Lemley, KV",1
"Li, YH",1
"Dogra, S",1
"Uppuluri, PC",1
"Park, TI",1
"Fernandes, TRS",1
"Zrubka, Z",1
"Esmaili, A",1
"Zhou, Q",1
"Zsidai, B",1
"Tüshaus, L",1
"Bolivar, LEM",1
"Sagkriotis, A",1
"Shi, HQ",1
"Sonar, P",1
"Karkanis, N",1
"De Souza, NS",1
"Fukuda, Y",1
"Hasanzadeh, F",1
