Node,Degree,PageRank,Betweenness
artificial intelligence,4164,0.24271652743463903,0.6682437969797228
deep learning,1549,0.0787157367807175,0.1431468080364538
convolutional neural networks,47,0.0025400384270164926,0.0
large language models,183,0.009703665838249576,0.013463603184964151
decision support,6,0.0006882486772251713,0.0
segmentation,35,0.0020165027915595274,0.004862697635625181
electronic health records,39,0.0022080373241727797,0.0011898933855526545
clinical decision support,104,0.005329916159504077,0.0
natural language processing,105,0.005252139733822929,0.0004419604003481288
patient education,16,0.0011530695150164078,0.0
retrieval-augmented generation,5,0.0006149687424559938,0.0
chatbots,16,0.0011577708923830841,0.0
ophthalmology,8,0.0007877947730967651,0.0
medicine,7,0.0007380217251609682,0.0
radiology,42,0.0024093818619476378,0.0
multimodal,5,0.0006384756292893743,0.0
machine learning,2061,0.10496443347133648,0.22785286753547174
stroke,32,0.0018879225056587347,0.0
systematic review,230,0.01109891253712021,0.012041397281279786
transformers,21,0.0023903622958913466,0.019896514947918248
prompt engineering,5,0.0006384756292893743,0.0
training,6,0.0006882486772251713,0.0
computational modeling,12,0.0009554187973078287,0.0
large language model,11,0.000937113916904156,0.0
chatgpt,32,0.0019983970148726308,0.0
digital twin,33,0.0019269366663549714,0.0
generative artificial intelligence,16,0.0011743175992292324,0.011674553959965186
clinical decision support systems,28,0.001732906663761305,0.0
computer vision,61,0.0031921212077243876,0.0
oncology,30,0.0018135718591136246,0.0
generative ai,37,0.002487260859736718,0.0049499564838990425
external validation,20,0.001309526830948446,0.0
clinical translation,35,0.0020120503831997988,0.0
healthcare,45,0.002467212699075438,0.0
diagnosis,144,0.007150747474718267,0.0006278104148534958
meta-analysis,150,0.00703674806434578,0.00010879025239338555
foundation models,27,0.0017888809119208234,0.0027163566144473455
multimodal learning,18,0.0014260871368805019,1.3598781549173194e-05
dermatology,9,0.000837567821032562,0.0
neural networks,46,0.002471392844681735,0.0
robots,6,0.0006882486772251713,0.0
medical robotics,5,0.0006384756292893743,0.0
surgery,12,0.000986886964839953,0.0
imaging,33,0.0019439808209806427,0.0
bioinformatics,12,0.0009588443017744138,0.002973600232085872
multi-omics,96,0.004987994945846939,0.00023182684736209526
genomics,47,0.0026478759058381693,0.0023470849392846797
proteomics,25,0.0017277346721555002,0.0007676835965021343
medical education,23,0.001534390492133719,0.0
risk stratification,63,0.003430201743725861,0.0067186075365742465
cardiology,6,0.0006882486772251713,0.0
coronary artery disease,14,0.001428020140498726,0.009818320278503045
digital health,120,0.006323397304967914,0.0023472468295412164
scoping review,54,0.00292025609879388,0.0014939232873305975
medical imaging,73,0.0037442595300835177,0.0
inflammatory bowel disease,23,0.0020549992684725333,0.006105852915578764
endoscopy,16,0.0011859791565831405,0.0
augmented reality,22,0.0015724686014614545,0.0
rehabilitation,13,0.0010366600127757499,0.0
mri,35,0.001957632518621778,0.0
palliative care,5,0.0006384756292893743,0.0
cancer,48,0.002669939745564189,0.004297214969538729
electrocardiography,20,0.0013031997329607662,0.0
prisma,5,0.000594698932053803,0.0
decision making,5,0.0006384756292893743,0.0
mental health,27,0.0016831336158255083,0.0
precision medicine,295,0.014778523134069493,0.015914621668946076
risk prediction,26,0.001601892400357587,0.0
gastroenterology,6,0.0006882486772251713,0.0
treatment,22,0.0013635966865064462,0.0
implementation science,6,0.0006882486772251713,0.0
radiotherapy,10,0.0008415265263699513,0.02543312119234117
decision-making,5,0.0006384756292893743,0.0
autism spectrum disorder,5,0.0006384756292893743,0.0
federated learning,48,0.0032382730639896567,0.0069244447712137015
multimodal data fusion,10,0.0008558727014362348,0.01844187329357852
privacy,12,0.00103231510305493,0.0016250543951261873
differential privacy,5,0.0006763324111351886,0.0
systematic literature review,34,0.001962281518324159,0.0
transfer learning,15,0.0010417639585095593,0.0
liquid biopsy,45,0.002705405638533529,0.0002062481868291268
colorectal cancer,14,0.0010864330607115468,0.0
education,9,0.000837567821032562,0.0
medical,6,0.0006882486772251713,0.0
virtual reality,22,0.0015724686014614545,0.0
antimicrobial resistance,32,0.0018753310555857281,0.0
antimicrobial peptides,5,0.0006384756292893743,0.0
drug design,11,0.0009056457493720317,0.0
generative models,7,0.0006939370091948963,0.0
urology,5,0.0006384756292893743,0.0
artificial intelligence (ai),89,0.004954673983218433,0.029400565709312446
traditional chinese medicine (tcm),36,0.0022495969487466966,0.0
quality detection technologies,36,0.0022495969487466966,0.0
therapeutic applications,36,0.0022495969487466966,0.0
cross-disciplinary integration,36,0.0022495969487466966,0.0
big data,10,0.000887340868968359,0.0
heart failure,16,0.0011859791565831405,0.0
prognosis,80,0.004377001682021287,0.0012170693632834624
bibliometrics,6,0.0006882486772251713,0.0
drug repurposing,15,0.0011117605603995614,0.0
drug repositioning,5,0.0006384756292893743,0.0
narrative review,5,0.0006384756292893743,0.0
implementation,5,0.0006384756292893743,0.0
hypertension,5,0.0006384756292893743,0.0
digital twins,24,0.0015275208385116927,0.0
precision psychiatry,6,0.0006882486772251713,0.0
multiomics,18,0.0012423800485754817,0.0
transcriptomics,12,0.0010407068035068778,0.0024455142152596462
orthodontics,7,0.0007380217251609682,0.0
pediatrics,11,0.000937113916904156,0.0
clinical integration,5,0.0006384756292893743,0.0
dentistry,9,0.000837567821032562,0.0
review,26,0.001633360567889711,0.0
public health,7,0.0007380217251609682,0.0
clinical trials,9,0.000837567821032562,0.0
multimodal imaging,8,0.0007877947730967651,0.0
cnn,5,0.0006069865464564658,0.0
chatbot,6,0.0006882486772251713,0.0
computer architecture,5,0.0008733734120811572,0.0
pet,6,0.0006882486772251713,0.0
diagnostic accuracy,106,0.005137758080528033,0.0
computed tomography,90,0.004503609529241198,0.004812835436611546
lung cancer,16,0.0011401648139847329,0.0
drug discovery,82,0.004329981489210482,0.0015434617058311575
pharmacogenomics,7,0.0006876856539685065,0.0
neuroimaging,36,0.002037757510341961,0.0
screening,20,0.001347284448926838,0.0
microbiome,5,0.0006384756292893743,0.0
patient safety,36,0.0028410233329100487,0.016360467435451116
exosomes,21,0.001508417801463857,0.0033906295329271825
personalized medicine,54,0.0029402665278460034,0.0003558347838700319
prostate cancer,31,0.002195129079453796,0.0049499564838990425
computer-aided diagnosis,27,0.001651631983812129,0.0
convolutional neural networks (cnns),5,0.0006069865464564658,0.0
data privacy,17,0.0013723696852214863,0.004442791669456153
epilepsy,11,0.0009056457493720317,0.0
eeg,11,0.0008678630330326985,0.0050627885963639855
venous thromboembolism,11,0.0008678630330326985,0.0050627885963639855
internet of things,20,0.00132213501326208,0.0
neural network,26,0.0015703865852840513,0.0
classification,18,0.0011996744906611501,0.0012510879025239337
prediction,19,0.0012786555988327079,0.0
image segmentation,11,0.0008993270175046656,0.010010200761669434
explainable ai,55,0.0029067671921512144,0.0
computational pathology,22,0.00142010982253119,0.002984932550043516
ethics,38,0.0025767860567184942,0.0049499564838990425
data models,5,0.0008733734120811572,0.0
prediction models,19,0.0012660683318198582,0.0
quality control,13,0.000998898211737201,0.0
chronic kidney disease,11,0.0009056457493720317,0.0
delivery of health care,5,0.0006384756292893743,0.0
children,5,0.0006384756292893743,0.0
immune checkpoint inhibitors,5,0.0006384756292893743,0.0
convolutional neural network,21,0.0013718662305963081,0.0
ovarian cancer,5,0.0006384756292893743,0.0
breast cancer,40,0.002279800706458215,0.0
predictive modeling,30,0.00179469095859435,0.0
hepatocellular carcinoma,28,0.0016555990552698321,0.003723152119855776
nursing,12,0.000986886964839953,0.0
nursing education,9,0.000837567821032562,0.0
nanotechnology,20,0.0013536031807942044,0.0
atherosclerosis,6,0.0006882486772251713,0.0
feature extraction,17,0.0011287186043081466,0.0
dermoscopy,5,0.0006384756292893743,0.0
magnetic resonance imaging,82,0.0040743729693936874,0.0
early diagnosis,21,0.001359299878884243,0.0
optical coherence tomography,5,0.0006384756292893743,0.0
photodynamic therapy,5,0.0006384756292893743,0.0
vision transformers,6,0.000650461777825681,0.0
infectious diseases,8,0.0007877947730967651,0.0
diagnostic imaging,31,0.0018444347251090488,0.0
biomarkers,185,0.009237463397788007,0.00889133666956774
self-supervised learning,6,0.000650461777825681,0.0
object detection,9,0.0007808874719333267,0.0
remote sensing,37,0.002148300472945512,0.0
neurodevelopmental disorders,5,0.0006070074617572502,0.0
explainable artificial intelligence,26,0.001570394951404365,0.0
bibliometric analysis,48,0.003101687717635309,0.009872715404699738
ultrasound,37,0.0020880488036033006,0.0007128027995358282
image processing,29,0.0016942474267862553,0.004018439947780679
biosensor,5,0.0006070074617572502,0.0
precision agriculture,39,0.0026386478105222128,0.009872715404699738
radiography,5,0.0006384756292893743,0.0
differential diagnosis,5,0.0006384756292893743,0.0
biomarker discovery,13,0.000993514808896497,0.0
alzheimer's disease,45,0.0033850739608280228,0.010362271540469974
predictive models,20,0.0013158413797556552,0.0
mammography,7,0.0007380217251609682,0.0
traditional chinese medicine,7,0.0007380217251609682,0.0
machine learning (ml),31,0.0019814286902878455,0.0
radiomics,261,0.012469718548280564,0.03543178721662729
sensors,7,0.0007380217251609682,0.0
medical image analysis,6,0.000650461777825681,0.0
vosviewer,14,0.0013980527458409004,0.0
systems biology,20,0.0013066926140683276,0.0004827567449956484
fault diagnosis,18,0.0016088692631667878,0.0049499564838990425
condition monitoring,5,0.0007694823202924612,0.0
osteoporosis,11,0.0009056248340712475,0.010010200761669434
electrocardiogram,5,0.0006384756292893743,0.0
anxiety,6,0.0007776548789460618,0.0
depression,25,0.0019021793556653972,0.015062917029300838
precision oncology,34,0.002040848300353673,0.0
digital agriculture,5,0.001002782766162673,0.0
smart farming,11,0.0015870268776931925,0.0049499564838990425
multimodal data,5,0.0006069865464564658,0.0
cone-beam computed tomography,6,0.0006882486772251713,0.0
age-related macular degeneration,5,0.0006384756292893743,0.0
parkinson's disease,15,0.0012054882328650317,0.0
food safety,16,0.001135630088531742,0.0
biosensors,15,0.0016437938259247292,0.0049499564838990425
image analysis,13,0.0009730000808182491,0.0
edge ai,6,0.000650461777825681,0.0
digital pathology,64,0.0034123005889281992,0.00024001849434290685
