Node 1,Node 2,Weight,Count 1,Count 2
"baigarayeva, z","boltaboyeva, a",1,1,1
"boltaboyeva, a","imanbek, b",1,1,1
"amangeldy, b","boltaboyeva, a",1,1,1
"boltaboyeva, a","tasmurzayev, n",1,1,1
"boltaboyeva, a","ozhikenov, k",1,1,2
"alimbayeva, z","boltaboyeva, a",1,2,1
"alimbayev, c","boltaboyeva, a",1,2,1
"boltaboyeva, a","karymsakova, n",1,1,1
"baigarayeva, z","imanbek, b",1,1,1
"amangeldy, b","baigarayeva, z",1,1,1
"baigarayeva, z","tasmurzayev, n",1,1,1
"baigarayeva, z","ozhikenov, k",1,1,2
"alimbayeva, z","baigarayeva, z",1,2,1
"alimbayev, c","baigarayeva, z",1,2,1
"baigarayeva, z","karymsakova, n",1,1,1
"amangeldy, b","imanbek, b",1,1,1
"imanbek, b","tasmurzayev, n",1,1,1
"imanbek, b","ozhikenov, k",1,1,2
"alimbayeva, z","imanbek, b",1,2,1
"alimbayev, c","imanbek, b",1,2,1
"imanbek, b","karymsakova, n",1,1,1
"amangeldy, b","tasmurzayev, n",1,1,1
"amangeldy, b","ozhikenov, k",1,1,2
"alimbayeva, z","amangeldy, b",1,2,1
"alimbayev, c","amangeldy, b",1,2,1
"amangeldy, b","karymsakova, n",1,1,1
"ozhikenov, k","tasmurzayev, n",1,2,1
"alimbayeva, z","tasmurzayev, n",1,2,1
"alimbayev, c","tasmurzayev, n",1,2,1
"karymsakova, n","tasmurzayev, n",1,1,1
"alimbayeva, z","ozhikenov, k",2,2,2
"alimbayev, c","ozhikenov, k",2,2,2
"karymsakova, n","ozhikenov, k",1,1,2
"alimbayev, c","alimbayeva, z",2,2,2
"alimbayeva, z","karymsakova, n",1,2,1
"alimbayev, c","karymsakova, n",1,2,1
"anoruo, n","carter, j",1,1,1
"carter, j","rehman, n",1,1,1
"carter, j","otaki, y",1,1,1
"carter, j","lydston, m",1,1,1
"burke, hb","carter, j",1,1,1
"anoruo, n","rehman, n",1,1,1
"anoruo, n","otaki, y",1,1,1
"anoruo, n","lydston, m",1,1,1
"anoruo, n","burke, hb",1,1,1
"otaki, y","rehman, n",1,1,1
"lydston, m","rehman, n",1,1,1
"burke, hb","rehman, n",1,1,1
"lydston, m","otaki, y",1,1,1
"burke, hb","otaki, y",1,1,1
"burke, hb","lydston, m",1,1,1
"holm, s","huss, f",1,2,1
"holm, s","nayyer, b",1,2,1
"holm, s","zdolsek, j",1,2,1
"huss, f","nayyer, b",1,1,1
"huss, f","zdolsek, j",1,1,1
"nayyer, b","zdolsek, j",1,1,1
"cho, h","han, s",1,3,3
"choi, yk","han, s",1,1,3
"alexander, gl","han, s",1,1,3
"cho, h","choi, yk",1,3,1
"alexander, gl","cho, h",1,1,3
"alexander, gl","choi, yk",1,1,1
"hier, db","wunsch, dc iii",1,1,1
"antal, m","buza, k",1,1,1
"cato, k","woo, bfy",1,1,1
"cho, h","woo, bfy",1,3,1
"bin you, s","woo, bfy",1,1,1
"song, j","woo, bfy",1,6,1
"cato, k","cho, h",1,1,3
"bin you, s","cato, k",1,1,1
"cato, k","song, j",1,1,6
"bin you, s","cho, h",1,1,3
"cho, h","song, j",1,3,6
"bin you, s","song, j",1,1,6
"chen, ys","gao, yf",1,3,3
"chen, ys","yu, sj",1,3,2
"chen, ys","zhao, cq",1,3,1
"chen, ys","lu, y",1,3,7
"gao, yf","yu, sj",1,3,2
"gao, yf","zhao, cq",1,3,1
"gao, yf","lu, y",1,3,7
"yu, sj","zhao, cq",1,2,1
"lu, y","yu, sj",1,7,2
"lu, y","zhao, cq",1,7,1
"gopakumar, g","murali, l",1,1,1
"murali, l","viswanathan, dm",1,1,1
"murali, l","raman, r",1,1,1
"murali, l","nedungadi, p",1,1,1
"gopakumar, g","viswanathan, dm",1,1,1
"gopakumar, g","raman, r",1,1,1
"gopakumar, g","nedungadi, p",1,1,1
"raman, r","viswanathan, dm",1,1,1
"nedungadi, p","viswanathan, dm",1,1,1
"nedungadi, p","raman, r",1,1,1
"abdelguerfi, m","ferdaus, mm",1,1,2
"ferdaus, mm","loup, e",1,2,1
"ferdaus, mm","niles, kn",1,2,1
"ferdaus, mm","pathak, k",1,2,1
"ferdaus, mm","sloan, s",1,2,1
"abdelguerfi, m","loup, e",1,1,1
"abdelguerfi, m","niles, kn",1,1,1
"abdelguerfi, m","pathak, k",1,1,1
"abdelguerfi, m","sloan, s",1,1,1
"loup, e","niles, kn",1,1,1
"loup, e","pathak, k",1,1,1
"loup, e","sloan, s",1,1,1
"niles, kn","pathak, k",1,1,1
"niles, kn","sloan, s",1,1,1
"pathak, k","sloan, s",1,1,1
"du, xs","zhou, zy",1,1,3
"du, xs","wang, yf",1,1,14
"chuang, yw","du, xs",1,1,1
"du, xs","li, ym",1,1,2
"du, xs","yang, r",1,1,3
"du, xs","zhang, wy",1,1,4
"du, xs","wang, xy",1,1,19
"chen, xy","du, xs",1,6,1
"du, xs","guan, h",1,1,1
"du, xs","lian, j",1,1,2
"du, xs","hong, py",1,1,1
"bates, dw","du, xs",1,1,1
"du, xs","zhou, l",1,1,9
"wang, yf","zhou, zy",1,14,3
"chuang, yw","zhou, zy",1,1,3
"li, ym","zhou, zy",1,2,3
"yang, r","zhou, zy",1,3,3
"zhang, wy","zhou, zy",1,4,3
"wang, xy","zhou, zy",1,19,3
"chen, xy","zhou, zy",1,6,3
"guan, h","zhou, zy",1,1,3
"lian, j","zhou, zy",1,2,3
"hong, py","zhou, zy",1,1,3
"bates, dw","zhou, zy",1,1,3
"zhou, l","zhou, zy",2,9,3
"chuang, yw","wang, yf",1,1,14
"li, ym","wang, yf",1,2,14
"wang, yf","yang, r",1,14,3
"wang, yf","zhang, wy",1,14,4
"wang, xy","wang, yf",1,19,14
"chen, xy","wang, yf",1,6,14
"guan, h","wang, yf",1,1,14
"lian, j","wang, yf",1,2,14
"hong, py","wang, yf",1,1,14
"bates, dw","wang, yf",1,1,14
"wang, yf","zhou, l",1,14,9
"chuang, yw","li, ym",1,1,2
"chuang, yw","yang, r",1,1,3
"chuang, yw","zhang, wy",1,1,4
"chuang, yw","wang, xy",1,1,19
