Node 1,Node 2,Weight
ai assistant,large language models,1
clinical decision support systems,large language models,3
large language models,rag,1
finetuning,large language models,1
large language models,multimodal ai,3
explainable ai,large language models,4
large language models,nlp,1
large language models,medical ai,1
ai assistant,clinical decision support systems,1
ai assistant,rag,1
ai assistant,finetuning,1
ai assistant,multimodal ai,1
ai assistant,explainable ai,1
ai assistant,nlp,1
ai assistant,medical ai,1
clinical decision support systems,rag,1
clinical decision support systems,finetuning,1
clinical decision support systems,multimodal ai,1
clinical decision support systems,explainable ai,2
clinical decision support systems,nlp,1
clinical decision support systems,medical ai,1
finetuning,rag,1
multimodal ai,rag,1
explainable ai,rag,1
nlp,rag,1
medical ai,rag,1
finetuning,multimodal ai,1
explainable ai,finetuning,1
finetuning,nlp,1
finetuning,medical ai,1
explainable ai,multimodal ai,1
multimodal ai,nlp,1
medical ai,multimodal ai,1
explainable ai,nlp,1
explainable ai,medical ai,1
medical ai,nlp,1
heart failure,large language models,1
electronic medical record,large language models,1
electronic health record,large language models,1
electronic medical record,heart failure,1
electronic health record,heart failure,1
electronic health record,electronic medical record,1
artificial intelligence,burn assessment,1
artificial intelligence,deep learning,344
artificial intelligence,convolutional neural networks,17
artificial intelligence,large language models,64
artificial intelligence,decision support,6
artificial intelligence,segmentation,7
artificial intelligence,burn depth,2
artificial intelligence,burn area,1
artificial intelligence,treatment recommendation,1
burn assessment,deep learning,1
burn assessment,convolutional neural networks,1
burn assessment,large language models,1
burn assessment,decision support,1
burn assessment,segmentation,1
burn assessment,burn depth,1
burn area,burn assessment,1
burn assessment,treatment recommendation,1
convolutional neural networks,deep learning,23
deep learning,large language models,8
decision support,deep learning,1
deep learning,segmentation,18
burn depth,deep learning,1
burn area,deep learning,1
deep learning,treatment recommendation,1
convolutional neural networks,large language models,2
convolutional neural networks,decision support,1
convolutional neural networks,segmentation,1
burn depth,convolutional neural networks,1
burn area,convolutional neural networks,1
convolutional neural networks,treatment recommendation,1
decision support,large language models,1
large language models,segmentation,1
